Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SVpct,GAA,SO,GPS,MIN,QS,QSpct,RBS,GApct,GSAA,G,A,PTS,PIM,Season
Petr Mrazek, 23, DET, 54, 49, 27, 16, 6, 115, 1448, 1333, .921, 2.33, 4, 9.5, 2961, 31, .633, 5, 93, 8.29, 0, 2, 2, 2,2015-16
Matt Murray, 21, PIT, 13, 13, 9, 2, 1, 25, 355, 330, .930, 2.00, 1, 2.7, 749, 10, .769, 0, 83, 5.23, 0, 0, 0, 0,2015-16
Michal Neuvirth, 27, PHI, 32, 29, 18, 8, 4, 69, 908, 839, .924, 2.27, 3, 6.4, 1825, 17, .586, 3, 89, 8.31, 0, 1, 1, 2,2015-16
Antti Niemi, 32, DAL, 48, 43, 25, 13, 7, 118, 1246, 1128, .905, 2.67, 3, 5.9, 2654, 19, .442, 8, 111, -11.91, 0, 2, 2, 2,2015-16
Anders Nilsson, 25, TOT, 29, 24, 10, 13, 2, 78, 789, 711, .901, 3.12, 0, 3.4, 1500, 11, .458, 5, 116, -10.82, 0, 1, 1, 4,2015-16
Anders Nilsson, 25, EDM, 26, 24, 10, 12, 2, 74, 745, 671, .901, 3.14, 0, 3.1, 1413, 11, .458, 5, 117, -10.57, 0, 1, 1, 4,2015-16
Anders Nilsson, 25, STL, 3, 0, 0, 1, 0, 4, 44, 40, .909, 2.75, 0, 0.2, 87, 0, , 0, , , 0, 0, 0, 0,2015-16
Matt O'Connor, 23, OTT, 1, 1, 0, 1, 0, 3, 34, 31, .912, 3.10, 0, 0.2, 58, 0, .000, 0, , , 0, 0, 0, 0,2015-16
Joni Ortio, 24, CGY, 22, 19, 7, 9, 5, 55, 564, 509, .902, 2.76, 1, 2.5, 1196, 9, .474, 3, 115, -6.98, 0, 0, 0, 2,2015-16
Ondrej Pavelec, 28, WPG, 33, 31, 13, 13, 4, 88, 918, 830, .904, 2.78, 1, 4.3, 1899, 14, .452, 6, 113, -9.84, 0, 0, 0, 0,2015-16
Calvin Pickard, 23, COL, 20, 13, 7, 6, 1, 42, 539, 497, .922, 2.56, 1, 3.6, 985, 8, .615, 1, 92, 3.89, 0, 1, 1, 0,2015-16
Carey Price, 28, MTL, 12, 12, 10, 2, 0, 24, 365, 341, .934, 2.06, 2, 3.0, 698, 8, .667, 1, 77, 7.08, 0, 0, 0, 0,2015-16
Jonathan Quick, 30, LAK, 68, 68, 40, 23, 5, 149, 1820, 1671, .918, 2.22, 5, 11.5, 4034, 38, .559, 9, 96, 5.96, 0, 3, 3, 10,2015-16
Antti Raanta, 26, NYR, 25, 18, 11, 6, 2, 43, 530, 487, .919, 2.24, 1, 3.4, 1145, 12, .667, 4, 95, 2.13, 0, 0, 0, 0,2015-16
Karri Ramo, 29, CGY, 37, 37, 17, 18, 1, 94, 1034, 940, .909, 2.63, 1, 5.4, 2145, 20, .541, 4, 107, -5.96, 0, 1, 1, 0,2015-16
Tuukka Rask, 28, BOS, 64, 62, 31, 22, 8, 157, 1854, 1697, .915, 2.56, 4, 11.1, 3678, 34, .548, 10, 99, 0.85, 0, 1, 1, 0,2015-16
James Reimer, 27, TOT, 40, 37, 17, 14, 7, 88, 1128, 1040, .922, 2.31, 3, 7.6, 2290, 22, .595, 6, 92, 8.04, 0, 0, 0, 0,2015-16
James Reimer, 27, TOR, 32, 29, 11, 12, 7, 75, 920, 845, .918, 2.49, 0, 5.8, 1809, 17, .586, 5, 96, 3.33, 0, 0, 0, 0,2015-16
James Reimer, 27, SJS, 8, 8, 6, 2, 0, 13, 208, 195, .938, 1.62, 3, 1.8, 481, 5, .625, 1, , , 0, 0, 0, 0,2015-16
Pekka Rinne, 33, NSH, 66, 66, 34, 21, 10, 161, 1744, 1583, .908, 2.48, 4, 8.8, 3895, 32, .485, 11, 108, -12.51, 0, 2, 2, 6,2015-16
Juuse Saros, 20, NSH, 1, 1, 0, 1, 0, 3, 23, 20, .870, 3.10, 0, 0.0, 58, 0, .000, 0, , , 0, 0, 0, 0,2015-16
Cory Schneider, 29, NJD, 58, 58, 27, 25, 6, 122, 1597, 1475, .924, 2.15, 4, 11.1, 3412, 40, .690, 7, 90, 13.97, 0, 0, 0, 0,2015-16
Ben Scrivens, 29, MTL, 15, 14, 5, 8, 0, 42, 447, 405, .906, 3.07, 0, 2.2, 822, 4, .286, 2, 110, -3.94, 0, 0, 0, 0,2015-16
Mike Smith, 33, ARI, 32, 32, 15, 13, 2, 77, 921, 844, .916, 2.64, 3, 5.6, 1753, 16, .500, 7, 98, 1.42, 0, 1, 1, 2,2015-16
Garret Sparks, 22, TOR, 17, 17, 6, 9, 1, 49, 456, 407, .893, 3.02, 1, 1.5, 975, 6, .353, 4, 126, -10.18, 0, 0, 0, 0,2015-16
Alex Stalock, 28, SJS, 13, 9, 3, 5, 2, 33, 285, 252, .884, 2.94, 0, 0.6, 674, 2, .222, 5, , , 0, 1, 1, 0,2015-16
Cam Talbot, 28, EDM, 56, 53, 21, 27, 5, 137, 1648, 1511, .917, 2.55, 3, 10.1, 3223, 26, .491, 4, 98, 3.31, 0, 1, 1, 0,2015-16
Dustin Tokarski, 26, MTL, 6, 4, 1, 3, 0, 12, 98, 86, .878, 3.18, 0, 0.1, 226, 1, .250, 2, , , 0, 0, 0, 0,2015-16
Niklas Treutle, 24, ARI, 2, 1, 0, 1, 0, 5, 20, 15, .750, 6.04, 0, -0.3, 50, 0, .000, 1, , , 0, 0, 0, 2,2015-16
Linus Ullmark, 22, BUF, 20, 20, 8, 10, 2, 49, 565, 516, .913, 2.60, 0, 3.2, 1131, 12, .600, 4, 102, -0.89, 0, 0, 0, 0,2015-16
Semyon Varlamov, 27, COL, 57, 57, 27, 25, 3, 148, 1714, 1566, .914, 2.81, 2, 9.9, 3159, 25, .439, 10, 101, -2.07, 0, 0, 0, 6,2015-16
Andrei Vasilevskiy, 21, TBL, 24, 21, 11, 10, 0, 58, 646, 588, .910, 2.76, 1, 3.5, 1259, 7, .333, 3, 105, -3.00, 0, 0, 0, 0,2015-16
Cam Ward, 31, CAR, 52, 51, 23, 17, 10, 122, 1343, 1221, .909, 2.41, 1, 7.0, 3038, 23, .451, 7, 107, -7.65, 0, 0, 0, 0,2015-16
Scott Wedgewood, 23, NJD, 4, 4, 2, 1, 1, 5, 116, 111, .957, 1.25, 1, 1.3, 241, 3, .750, 0, , , 0, 0, 0, 0,2015-16
Roman Will, 23, COL, 1, 0, 0, 0, 0, 1, 3, 2, .667, 3.25, 0, -0.1, 18, 0, , 0, , , 0, 0, 0, 0,2015-16
Jeff Zatkoff, 28, PIT, 14, 11, 4, 7, 1, 34, 408, 374, .917, 2.79, 0, 2.5, 732, 7, .636, 3, 98, 0.74, 0, 0, 0, 0,2015-16
Jake Allen, 24, STL, 37, 32, 22, 7, 4, 79, 909, 830, .913, 2.28, 4, 5.3, 2077, 17, .531, 6, 102, -1.41, 0, 2, 2, 2,2014-15
Frederik Andersen, 25, ANA, 54, 53, 35, 12, 5, 123, 1436, 1313, .914, 2.38, 3, 8.6, 3106, 32, .604, 9, 100, -0.43, 0, 3, 3, 4,2014-15
Craig Anderson, 33, OTT, 35, 35, 14, 13, 8, 87, 1134, 1047, .923, 2.49, 3, 8.0, 2093, 17, .486, 2, 90, 9.79, 0, 0, 0, 4,2014-15
Richard Bachman, 27, EDM, 6, 4, 3, 2, 0, 15, 168, 153, .911, 2.84, 1, 0.9, 317, 3, .750, 1, , , 0, 0, 0, 0,2014-15
Niklas Backstrom, 36, MIN, 19, 14, 5, 7, 3, 51, 452, 401, .887, 3.05, 0, 1.2, 1005, 2, .143, 4, 132, -12.42, 0, 0, 0, 2,2014-15
Jonathan Bernier, 26, TOR, 58, 55, 21, 28, 7, 152, 1735, 1583, .912, 2.87, 2, 10.0, 3177, 26, .473, 11, 103, -3.91, 0, 1, 1, 0,2014-15
Reto Berra, 28, COL, 19, 12, 5, 4, 1, 33, 403, 370, .918, 2.65, 1, 2.6, 746, 5, .417, 2, 96, 1.40, 0, 0, 0, 0,2014-15
Ben Bishop, 28, TBL, 62, 59, 40, 13, 5, 136, 1620, 1484, .916, 2.32, 4, 10.0, 3519, 33, .559, 8, 98, 2.27, 0, 4, 4, 4,2014-15
Sergei Bobrovsky, 26, CBJ, 51, 49, 30, 17, 3, 134, 1632, 1498, .918, 2.68, 2, 10.4, 2994, 26, .531, 3, 96, 5.30, 0, 2, 2, 4,2014-15
Martin Brodeur*, 42, STL, 7, 5, 3, 3, 0, 17, 169, 152, .899, 2.87, 1, 0.7, 356, 2, .400, 2, , , 0, 0, 0, 0,2014-15
Laurent Brossoit, 21, EDM, 1, 1, 0, 1, 0, 2, 51, 49, .961, 2.01, 0, 0.6, 60, 1, 1.000, 0, , , 0, 0, 0, 0,2014-15
Ilya Bryzgalov, 34, ANA, 8, 6, 1, 4, 1, 23, 150, 127, .847, 4.19, 0, -0.3, 329, 2, .333, 3, , , 0, 2, 2, 0,2014-15
Tyler Bunz, 22, EDM, 1, 0, 0, 0, 0, 3, 12, 9, .750, 9.00, 0, -0.2, 20, 0, , 0, , , 0, 0, 0, 0,2014-15
Scott Clemmensen, 37, NJD, 3, 1, 0, 0, 1, 8, 54, 46, .852, 4.73, 0, -0.1, 102, 0, .000, 0, , , 0, 0, 0, 0,2014-15
Corey Crawford, 30, CHI, 57, 57, 32, 20, 5, 126, 1661, 1535, .924, 2.27, 2, 11.9, 3333, 38, .667, 4, 89, 15.77, 0, 1, 1, 8,2014-15
John Curry, 30, MIN, 2, 1, 0, 0, 1, 5, 25, 20, .800, 4.18, 0, -0.2, 72, 0, .000, 1, , , 0, 0, 0, 0,2014-15
Scott Darling, 26, CHI, 14, 13, 9, 4, 0, 27, 419, 392, .936, 1.95, 1, 3.6, 833, 10, .769, 0, 75, 8.76, 0, 0, 0, 0,2014-15
Louis Domingue, 22, ARI, 7, 4, 1, 2, 1, 14, 158, 144, .911, 2.73, 0, 0.9, 308, 3, .750, 0, , , 0, 0, 0, 0,2014-15
Chris Driedger, 20, OTT, 1, 0, 0, 0, 0, 0, 10, 10, 1.000, 0.00, 0, 0.2, 23, 0, , 0, , , 0, 0, 0, 0,2014-15
Devan Dubnyk, 28, TOT, 58, 55, 36, 14, 4, 115, 1625, 1510, .929, 2.07, 6, 12.6, 3328, 36, .655, 4, 83, 23.70, 0, 2, 2, 2,2014-15
Devan Dubnyk, 28, MIN, 39, 39, 27, 9, 2, 68, 1064, 996, .936, 1.78, 5, 9.1, 2293, 28, .718, 2, 75, 22.82, 0, 2, 2, 2,2014-15
Devan Dubnyk, 28, ARI, 19, 16, 9, 5, 2, 47, 561, 514, .916, 2.72, 1, 3.5, 1035, 8, .500, 2, 98, 0.88, 0, 0, 0, 0,2014-15
Brian Elliott, 29, STL, 46, 45, 26, 14, 3, 96, 1150, 1054, .917, 2.26, 5, 7.2, 2546, 27, .600, 8, 98, 2.16, 0, 3, 3, 0,2014-15
Dan Ellis, 34, FLA, 8, 8, 4, 3, 1, 19, 221, 202, .914, 2.34, 1, 1.3, 486, 4, .500, 0, , , 0, 0, 0, 0,2014-15
Ray Emery, 32, PHI, 31, 25, 10, 11, 7, 80, 758, 678, .894, 3.06, 0, 2.7, 1570, 13, .520, 6, 124, -15.30, 0, 0, 0, 4,2014-15
Jhonas Enroth, 26, TOT, 50, 44, 18, 26, 2, 145, 1504, 1359, .904, 3.07, 2, 7.0, 2834, 20, .455, 7, 113, -16.63, 0, 0, 0, 0,2014-15
Jhonas Enroth, 26, BUF, 37, 35, 13, 21, 2, 120, 1237, 1117, .903, 3.27, 1, 5.7, 2204, 16, .457, 6, 114, -14.42, 0, 0, 0, 0,2014-15
Jhonas Enroth, 26, DAL, 13, 9, 5, 5, 0, 25, 267, 242, .906, 2.38, 1, 1.3, 630, 4, .444, 1, , , 0, 0, 0, 0,2014-15
Viktor Fasth, 32, EDM, 26, 24, 6, 15, 3, 76, 681, 605, .888, 3.41, 0, 1.9, 1336, 9, .375, 9, 131, -17.87, 0, 0, 0, 0,2014-15
Marc-Andre Fleury, 30, PIT, 64, 64, 34, 20, 9, 146, 1831, 1685, .920, 2.32, 10, 12.2, 3776, 35, .547, 6, 93, 10.28, 0, 1, 1, 6,2014-15
Anton Forsberg, 22, CBJ, 5, 5, 0, 4, 0, 20, 149, 129, .866, 4.69, 0, 0.0, 256, 0, .000, 1, , , 0, 0, 0, 0,2014-15
John Gibson, 21, ANA, 23, 21, 13, 8, 0, 58, 674, 616, .914, 2.60, 1, 4.0, 1340, 13, .619, 4, 101, -0.47, 0, 0, 0, 0,2014-15
Thomas Greiss, 29, PIT, 20, 18, 9, 6, 3, 50, 546, 496, .908, 2.59, 0, 2.9, 1159, 8, .444, 2, 107, -3.40, 0, 0, 0, 0,2014-15
Troy Grosenick, 25, SJS, 2, 2, 1, 1, 0, 3, 58, 55, .948, 1.52, 1, 0.6, 118, 1, .500, 1, , , 0, 0, 0, 0,2014-15
Philipp Grubauer, 23, WSH, 1, 1, 1, 0, 0, 2, 25, 23, .920, 1.85, 0, 0.2, 65, 1, 1.000, 0, , , 0, 0, 0, 0,2014-15
Jonas Gustavsson, 30, DET, 7, 6, 3, 3, 1, 15, 168, 153, .911, 2.56, 1, 0.9, 351, 3, .500, 2, , , 0, 0, 0, 2,2014-15
Matt Hackett, 24, BUF, 5, 4, 0, 4, 1, 18, 155, 137, .884, 4.32, 0, 0.4, 250, 1, .250, 1, , , 0, 0, 0, 0,2014-15
Jaroslav Halak, 29, NYI, 59, 59, 38, 17, 4, 144, 1673, 1529, .914, 2.43, 6, 9.9, 3550, 33, .559, 7, 101, -1.20, 0, 1, 1, 2,2014-15
Andrew Hammond, 26, OTT, 24, 23, 20, 1, 2, 42, 707, 665, .941, 1.79, 3, 6.5, 1411, 18, .783, 1, 70, 18.34, 0, 1, 1, 0,2014-15
Jonas Hiller, 32, CGY, 52, 44, 26, 19, 4, 113, 1376, 1263, .918, 2.36, 1, 8.8, 2871, 23, .523, 3, 96, 4.45, 0, 0, 0, 0,2014-15
Braden Holtby, 25, WSH, 73, 72, 41, 20, 10, 157, 2044, 1887, .923, 2.22, 9, 14.4, 4247, 43, .597, 7, 90, 17.46, 0, 2, 2, 2,2014-15
Jimmy Howard, 30, DET, 53, 50, 23, 13, 11, 121, 1350, 1229, .910, 2.44, 2, 7.4, 2971, 26, .520, 8, 105, -5.77, 0, 1, 1, 2,2014-15
Michael Hutchinson, 24, WPG, 38, 36, 21, 10, 5, 85, 986, 901, .914, 2.38, 2, 5.8, 2138, 19, .528, 7, 101, -0.84, 0, 0, 0, 0,2014-15
Carter Hutton, 29, NSH, 18, 17, 6, 7, 4, 44, 450, 406, .902, 2.61, 1, 2.0, 1010, 6, .353, 3, 115, -5.59, 0, 0, 0, 0,2014-15
Chad Johnson, 28, NYI, 19, 17, 8, 8, 1, 54, 488, 434, .889, 3.08, 0, 1.4, 1053, 7, .412, 6, 130, -12.35, 0, 0, 0, 0,2014-15
Martin Jones, 25, LAK, 15, 11, 4, 5, 2, 29, 307, 278, .906, 2.24, 3, 1.5, 775, 5, .455, 2, , , 0, 1, 1, 0,2014-15
Anton Khudobin, 28, CAR, 34, 32, 8, 17, 6, 87, 874, 787, .900, 2.72, 1, 3.8, 1920, 16, .500, 9, 117, -12.40, 0, 0, 0, 0,2014-15
Keith Kinkaid, 25, NJD, 19, 13, 6, 5, 4, 40, 469, 429, .915, 2.59, 0, 2.8, 925, 8, .615, 0, 100, 0.03, 0, 0, 0, 0,2014-15
Darcy Kuemper, 24, MIN, 31, 28, 14, 12, 2, 68, 718, 650, .905, 2.60, 3, 3.5, 1569, 15, .536, 7, 111, -6.72, 0, 0, 0, 0,2014-15
Jason LaBarbera, 35, ANA, 5, 2, 2, 0, 1, 9, 99, 90, .909, 2.60, 0, 0.5, 207, 2, 1.000, 0, , , 0, 0, 0, 0,2014-15
Eddie Lack, 27, VAN, 41, 35, 18, 13, 4, 95, 1201, 1106, .921, 2.45, 2, 8.1, 2324, 18, .514, 5, 93, 7.51, 0, 0, 0, 2,2014-15
Robin Lehner, 23, OTT, 25, 24, 9, 12, 3, 74, 779, 705, .905, 3.02, 0, 3.8, 1471, 11, .458, 2, 111, -7.51, 0, 1, 1, 0,2014-15
Kari Lehtonen, 31, DAL, 65, 65, 34, 17, 10, 181, 1875, 1694, .903, 2.94, 5, 8.7, 3698, 30, .462, 12, 113, -20.96, 0, 3, 3, 2,2014-15
Anders Lindback, 26, TOT, 26, 22, 6, 16, 2, 73, 798, 725, .909, 3.11, 0, 4.2, 1408, 8, .364, 3, 107, -4.89, 0, 1, 1, 4,2014-15
Anders Lindback, 26, BUF, 16, 15, 4, 8, 2, 41, 542, 501, .924, 2.76, 0, 3.9, 891, 8, .533, 1, 89, 5.26, 0, 0, 0, 4,2014-15
Anders Lindback, 26, DAL, 10, 7, 2, 8, 0, 32, 256, 224, .875, 3.71, 0, 0.3, 517, 0, .000, 2, , , 0, 1, 1, 0,2014-15
Henrik Lundqvist, 32, NYR, 46, 46, 30, 13, 3, 103, 1329, 1226, .922, 2.25, 5, 9.2, 2743, 29, .630, 4, 91, 10.43, 0, 1, 1, 0,2014-15
Roberto Luongo, 35, FLA, 61, 61, 28, 19, 12, 138, 1743, 1605, .921, 2.35, 2, 11.8, 3528, 36, .590, 9, 93, 10.77, 0, 0, 0, 0,2014-15
Andrey Makarov, 21, BUF, 1, 1, 0, 1, 0, 3, 36, 33, .917, 3.00, 0, 0.2, 60, 1, 1.000, 0, , , 0, 0, 0, 0,2014-15
Jacob Markstrom, 25, VAN, 3, 2, 1, 1, 0, 4, 33, 29, .879, 3.09, 0, 0.1, 78, 1, .500, 1, , , 0, 0, 0, 0,2014-15
Steve Mason, 26, PHI, 51, 48, 18, 18, 11, 108, 1490, 1382, .928, 2.25, 3, 11.3, 2885, 29, .604, 4, 85, 19.18, 0, 3, 3, 2,2014-15
Marek Mazanec, 23, NSH, 2, 1, 0, 1, 0, 4, 47, 43, .915, 2.27, 0, 0.3, 106, 1, 1.000, 0, , , 0, 0, 0, 0,2014-15
Thomas McCollum, 25, DET, 2, 0, 1, 0, 0, 1, 25, 24, .960, 0.91, 0, 0.3, 66, 0, , 0, , , 0, 0, 0, 0,2014-15
Curtis McElhinney, 31, CBJ, 32, 28, 12, 14, 2, 82, 949, 867, .914, 2.88, 0, 5.6, 1710, 12, .429, 2, 101, -1.00, 0, 0, 0, 0,2014-15
Mike McKenna, 31, ARI, 1, 1, 0, 1, 0, 5, 34, 29, .853, 5.00, 0, 0.0, 60, 0, .000, 0, , , 0, 0, 0, 0,2014-15
Ryan Miller, 34, VAN, 45, 45, 29, 15, 1, 107, 1198, 1091, .911, 2.53, 6, 6.6, 2542, 22, .489, 8, 105, -4.75, 0, 0, 0, 0,2014-15
Al Montoya, 29, FLA, 20, 13, 6, 7, 2, 49, 453, 404, .892, 3.01, 0, 1.5, 977, 6, .462, 3, 127, -10.33, 0, 0, 0, 2,2014-15
Petr Mrazek, 22, DET, 29, 26, 16, 9, 2, 63, 768, 705, .918, 2.38, 3, 4.9, 1585, 15, .577, 6, 96, 2.55, 0, 0, 0, 0,2014-15
Evgeni Nabokov, 39, TBL, 11, 9, 3, 6, 2, 29, 245, 216, .882, 3.14, 0, 0.5, 553, 5, .556, 2, , , 0, 1, 1, 2,2014-15
Michal Neuvirth, 26, TOT, 32, 32, 7, 20, 4, 92, 1067, 975, .914, 2.98, 0, 6.3, 1850, 16, .500, 4, 101, -0.93, 0, 0, 0, 0,2014-15
Michal Neuvirth, 26, BUF, 27, 27, 6, 17, 3, 77, 941, 864, .918, 2.99, 0, 6.1, 1544, 15, .556, 3, 96, 3.32, 0, 0, 0, 0,2014-15
Michal Neuvirth, 26, NYI, 5, 5, 1, 3, 1, 15, 126, 111, .881, 2.94, 0, 0.2, 306, 1, .200, 1, , , 0, 0, 0, 0,2014-15
Antti Niemi, 31, SJS, 61, 61, 31, 23, 7, 155, 1811, 1656, .914, 2.59, 5, 10.8, 3588, 32, .525, 9, 100, -0.43, 0, 3, 3, 0,2014-15
Joni Ortio, 23, CGY, 6, 6, 4, 2, 0, 14, 153, 139, .908, 2.52, 1, 0.8, 333, 3, .500, 2, , , 0, 0, 0, 0,2014-15
Ondrej Pavelec, 27, WPG, 50, 46, 22, 16, 8, 108, 1353, 1245, .920, 2.28, 5, 9.0, 2838, 23, .500, 5, 94, 7.48, 0, 0, 0, 2,2014-15
Justin Peters, 28, WSH, 12, 9, 3, 6, 1, 35, 294, 259, .881, 3.25, 0, 0.6, 647, 1, .111, 3, , , 0, 0, 0, 0,2014-15
Calvin Pickard, 22, COL, 16, 13, 6, 7, 3, 35, 511, 476, .932, 2.35, 0, 4.1, 895, 9, .692, 1, 80, 8.62, 0, 0, 0, 0,2014-15
Kevin Poulin, 24, NYI, 1, 1, 0, 0, 1, 3, 26, 23, .885, 2.77, 0, 0.1, 65, 0, .000, 0, , , 0, 0, 0, 0,2014-15
Carey Price, 27, MTL, 66, 66, 44, 16, 6, 130, 1953, 1823, .933, 1.96, 9, 16.2, 3977, 39, .591, 6, 78, 36.70, 0, 1, 1, 4,2014-15
Jonathan Quick, 29, LAK, 72, 71, 36, 22, 13, 156, 1896, 1740, .918, 2.24, 6, 12.1, 4184, 36, .507, 9, 96, 5.83, 0, 1, 1, 18,2014-15
Antti Raanta, 25, CHI, 14, 12, 7, 4, 1, 25, 389, 364, .936, 1.89, 2, 3.3, 792, 8, .667, 1, 75, 8.20, 0, 0, 0, 0,2014-15
Karri Ramo, 28, CGY, 34, 32, 15, 9, 3, 75, 852, 777, .912, 2.60, 2, 4.8, 1731, 14, .438, 5, 103, -2.28, 0, 0, 0, 0,2014-15
Tuukka Rask, 27, BOS, 70, 67, 34, 21, 13, 156, 2011, 1855, .922, 2.30, 3, 14.0, 4063, 42, .627, 8, 91, 15.65, 0, 0, 0, 8,2014-15
James Reimer, 26, TOR, 35, 27, 9, 16, 1, 93, 1001, 908, .907, 3.16, 0, 5.1, 1767, 13, .481, 7, 109, -7.56, 0, 0, 0, 2,2014-15
Pekka Rinne, 32, NSH, 64, 64, 41, 17, 6, 140, 1807, 1667, .923, 2.18, 4, 12.6, 3851, 43, .672, 7, 91, 14.23, 0, 1, 1, 8,2014-15
Jussi Rynnas, 27, DAL, 2, 1, 0, 1, 0, 7, 44, 37, .841, 4.54, 0, -0.1, 92, 0, .000, 1, , , 0, 0, 0, 0,2014-15
Cory Schneider, 28, NJD, 69, 68, 26, 31, 9, 148, 1982, 1834, .925, 2.26, 5, 14.5, 3924, 41, .603, 7, 87, 21.17, 0, 2, 2, 0,2014-15
Ben Scrivens, 28, EDM, 57, 53, 15, 26, 11, 170, 1542, 1372, .890, 3.16, 1, 4.6, 3228, 19, .358, 13, 129, -38.39, 0, 1, 1, 4,2014-15
Mackenzie Skapski, 20, NYR, 2, 2, 2, 0, 0, 1, 45, 44, .978, 0.50, 1, 0.6, 119, 2, 1.000, 0, , , 0, 0, 0, 0,2014-15
Mike Smith, 32, ARI, 62, 61, 14, 42, 5, 187, 1955, 1768, .904, 3.16, 0, 9.3, 3556, 29, .475, 12, 112, -20.13, 0, 1, 1, 10,2014-15
Alex Stalock, 27, SJS, 22, 19, 8, 9, 2, 54, 553, 499, .902, 2.62, 2, 2.5, 1237, 10, .526, 1, 114, -6.80, 0, 0, 0, 2,2014-15
Malcolm Subban, 21, BOS, 1, 1, 0, 1, 0, 3, 6, 3, .500, 5.76, 0, -0.3, 31, 0, .000, 1, , , 0, 0, 0, 0,2014-15
Niklas Svedberg, 25, BOS, 18, 14, 7, 5, 1, 35, 425, 390, .918, 2.33, 2, 2.7, 900, 9, .643, 2, 96, 1.28, 0, 0, 0, 0,2014-15
Cam Talbot, 27, NYR, 36, 34, 21, 9, 4, 77, 1038, 961, .926, 2.21, 5, 7.6, 2095, 17, .500, 2, 87, 11.60, 0, 0, 0, 0,2014-15
Dustin Tokarski, 25, MTL, 17, 16, 6, 6, 4, 46, 509, 463, .910, 2.75, 0, 2.7, 1005, 8, .500, 1, 106, -2.56, 0, 1, 1, 0,2014-15
Semyon Varlamov, 26, COL, 57, 57, 28, 20, 8, 141, 1791, 1650, .921, 2.56, 5, 12.2, 3307, 33, .579, 6, 92, 11.87, 0, 0, 0, 4,2014-15
Andrei Vasilevskiy, 20, TBL, 16, 13, 7, 5, 1, 34, 415, 381, .918, 2.36, 1, 2.7, 864, 7, .538, 1, 96, 1.42, 0, 0, 0, 0,2014-15
Cam Ward, 30, CAR, 51, 50, 22, 24, 5, 121, 1351, 1230, .910, 2.40, 1, 7.4, 3026, 26, .520, 7, 105, -5.69, 0, 0, 0, 4,2014-15
Jeff Zatkoff, 27, PIT, 1, 0, 0, 1, 0, 1, 17, 16, .941, 1.63, 0, 0.2, 37, 0, , 0, , , 0, 0, 0, 0,2014-15
Rob Zepp, 33, PHI, 10, 9, 5, 2, 0, 25, 223, 198, .888, 2.89, 0, 0.6, 519, 1, .111, 2, , , 0, 0, 0, 0,2014-15
Sami Aittokallio, 21, COL, 1, 1, 0, 1, 0, 3, 18, 15, .833, 4.50, 0, -0.1, 40, 0, .000, 1, , , 0, 0, 0, 0,2013-14
Frederik Andersen, 24, ANA, 28, 24, 20, 5, 0, 60, 783, 723, .923, 2.29, 0, 5.6, 1569, 12, .500, 0, 89, 7.47, 0, 1, 1, 0,2013-14
Craig Anderson, 32, OTT, 53, 52, 25, 16, 8, 150, 1680, 1530, .911, 3.00, 4, 9.5, 3000, 26, .500, 10, 104, -5.24, 0, 1, 1, 2,2013-14
Richard Bachman, 26, EDM, 3, 3, 0, 2, 1, 7, 83, 76, .916, 3.03, 0, 0.5, 139, 1, .333, 2, , , 0, 0, 0, 0,2013-14
Niklas Backstrom, 35, MIN, 21, 19, 5, 11, 2, 55, 546, 491, .899, 3.02, 0, 2.3, 1094, 9, .474, 3, 117, -7.95, 0, 0, 0, 0,2013-14
Jonathan Bernier, 25, TOR, 55, 49, 26, 19, 7, 139, 1788, 1649, .922, 2.70, 1, 12.6, 3084, 30, .612, 5, 90, 15.07, 0, 1, 1, 4,2013-14
Reto Berra, 27, TOT, 31, 29, 9, 18, 3, 88, 820, 732, .893, 3.07, 0, 2.9, 1720, 14, .483, 7, 125, -17.34, 0, 0, 0, 2,2013-14
Reto Berra, 27, CGY, 29, 27, 9, 17, 2, 81, 788, 707, .897, 2.95, 0, 3.2, 1648, 14, .519, 5, 119, -13.10, 0, 0, 0, 2,2013-14
Reto Berra, 27, COL, 2, 2, 0, 1, 1, 7, 32, 25, .781, 5.85, 0, -0.3, 72, 0, .000, 2, , , 0, 0, 0, 0,2013-14
Martin Biron, 36, NYR, 2, 1, 0, 1, 0, 9, 38, 29, .763, 7.65, 0, -0.5, 71, 0, .000, 1, , , 0, 0, 0, 0,2013-14
Ben Bishop, 27, TBL, 63, 63, 37, 14, 7, 133, 1758, 1625, .924, 2.23, 5, 12.9, 3586, 38, .603, 8, 88, 18.48, 0, 2, 2, 4,2013-14
Sergei Bobrovsky, 25, CBJ, 58, 57, 32, 20, 5, 131, 1699, 1568, .923, 2.38, 5, 12.1, 3299, 35, .614, 5, 89, 15.40, 0, 1, 1, 2,2013-14
Martin Brodeur*, 41, NJD, 39, 39, 19, 14, 6, 96, 971, 875, .901, 2.51, 3, 4.4, 2297, 18, .462, 8, 115, -12.33, 0, 3, 3, 2,2013-14
Ilya Bryzgalov, 33, TOT, 32, 30, 12, 9, 8, 81, 891, 810, .909, 2.68, 4, 4.9, 1814, 16, .533, 4, 106, -4.23, 0, 0, 0, 0,2013-14
