Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SVpct,GAA,SO,GPS,MIN,QS,QSpct,RBS,GApct,GSAA,G,A,PTS,PIM,Season
Anders Nilsson, 28, VAN, 12, 12, 3, 8, 1, 37, 353, 316, .895, 3.09, 0, 1.4, 718, 4, .333, 2, 116, -5.18, 0, 0, 0, 0,2018-19
Eddie Pasquale, 28, TBL, 3, 3, 2, 1, 0, 12, 102, 90, .882, 3.96, 0, 0.3, 182, 1, .333, 1, , , 0, 0, 0, 0,2018-19
Calvin Petersen, 24, LAK, 11, 10, 5, 4, 1, 27, 355, 328, .924, 2.61, 1, 2.5, 622, 6, .600, 1, 84, 5.00, 0, 0, 0, 0,2018-19
Calvin Pickard, 26, TOT, 17, 12, 4, 6, 2, 48, 384, 336, .875, 3.86, 1, 0.7, 747, 4, .333, 4, 139, -13.39, 0, 0, 0, 2,2018-19
Calvin Pickard, 26, PHI, 11, 8, 4, 2, 2, 31, 227, 196, .863, 4.01, 1, 0.1, 464, 2, .250, 4, , , 0, 0, 0, 2,2018-19
Calvin Pickard, 26, ARI, 6, 4, 0, 4, 0, 17, 157, 140, .892, 3.61, 0, 0.6, 283, 2, .500, 0, , , 0, 0, 0, 0,2018-19
Carey Price, 31, MTL, 66, 64, 35, 24, 6, 161, 1952, 1791, .918, 2.49, 4, 12.5, 3880, 37, .578, 6, 92, 14.94, 0, 1, 1, 2,2018-19
Jonathan Quick, 33, LAK, 46, 46, 16, 23, 7, 149, 1329, 1180, .888, 3.38, 2, 4.3, 2648, 19, .413, 11, 124, -29.21, 0, 2, 2, 6,2018-19
Antti Raanta, 29, ARI, 12, 12, 5, 6, 0, 33, 351, 318, .906, 2.88, 0, 1.8, 687, 6, .500, 1, 104, -1.36, 0, 1, 1, 0,2018-19
Tuukka Rask, 31, BOS, 46, 45, 27, 13, 5, 109, 1245, 1136, .912, 2.48, 4, 7.3, 2635, 24, .533, 5, 97, 3.21, 0, 2, 2, 4,2018-19
James Reimer, 30, FLA, 36, 29, 13, 12, 5, 93, 929, 836, .900, 3.09, 0, 4.2, 1805, 10, .345, 6, 111, -9.27, 0, 0, 0, 0,2018-19
Pekka Rinne, 36, NSH, 56, 55, 30, 19, 4, 130, 1581, 1451, .918, 2.42, 4, 10.1, 3220, 30, .545, 7, 91, 12.50, 0, 0, 0, 4,2018-19
David Rittich, 26, CGY, 45, 42, 27, 9, 5, 109, 1228, 1119, .911, 2.61, 1, 7.0, 2503, 26, .619, 8, 98, 1.68, 0, 0, 0, 4,2018-19
Juuse Saros, 23, NSH, 31, 27, 17, 10, 2, 74, 870, 796, .915, 2.62, 3, 5.3, 1696, 14, .519, 6, 94, 4.41, 0, 0, 0, 0,2018-19
Cory Schneider, 32, NJD, 26, 23, 6, 13, 4, 70, 718, 648, .903, 3.06, 1, 3.4, 1372, 10, .435, 5, 108, -5.29, 0, 0, 0, 0,2018-19
Mike Smith, 36, CGY, 42, 40, 23, 16, 2, 109, 1069, 960, .898, 2.72, 2, 4.6, 2400, 20, .500, 9, 113, -12.65, 0, 3, 3, 2,2018-19
Garret Sparks, 25, TOR, 20, 17, 8, 9, 1, 58, 592, 534, .902, 3.15, 1, 2.8, 1105, 8, .471, 3, 109, -4.64, 0, 0, 0, 0,2018-19
Alex Stalock, 31, MIN, 21, 16, 6, 8, 3, 53, 525, 472, .899, 2.99, 0, 2.3, 1065, 9, .563, 1, 112, -5.68, 0, 2, 2, 4,2018-19
Anthony Stolarz, 25, TOT, 18, 12, 4, 5, 3, 50, 503, 453, .901, 3.45, 1, 2.3, 869, 5, .417, 2, 110, -4.66, 0, 0, 0, 0,2018-19
Anthony Stolarz, 25, PHI, 12, 10, 4, 3, 3, 35, 358, 323, .902, 3.33, 1, 1.7, 630, 4, .400, 2, 108, -2.73, 0, 0, 0, 0,2018-19
Anthony Stolarz, 25, EDM, 6, 2, 0, 2, 0, 15, 145, 130, .897, 3.77, 0, 0.6, 239, 1, .500, 0, , , 0, 0, 0, 0,2018-19
Malcolm Subban, 25, VEG, 21, 20, 8, 10, 2, 60, 612, 552, .902, 2.93, 1, 2.9, 1227, 8, .400, 3, 109, -4.84, 0, 0, 0, 4,2018-19
Cam Talbot, 31, TOT, 35, 32, 11, 17, 3, 108, 997, 889, .892, 3.40, 1, 3.6, 1906, 9, .281, 10, 120, -18.14, 0, 1, 1, 0,2018-19
Cam Talbot, 31, EDM, 31, 29, 10, 15, 3, 95, 888, 793, .893, 3.36, 1, 3.4, 1695, 9, .310, 9, 119, -14.96, 0, 1, 1, 0,2018-19
Cam Talbot, 31, PHI, 4, 3, 1, 2, 0, 13, 109, 96, .881, 3.70, 0, 0.3, 211, 0, .000, 1, , , 0, 0, 0, 0,2018-19
