Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,GAA,SO,GPS,MIN,QS,RBS,GSAA,G,A,PTS,PIM,Season,SV%,QS%,GA%
Jake Allen,29, STL,24,21,12,6,3,48,655,607,2.15,2,4.9,1339,14,2,11.23,0,0,0,0,2019-20,0.927,0.667,81
Frederik Andersen,30, TOR,52,52,29,13,7,143,1577,1434,2.85,3,8.9,3007,27,8,-0.4,0,0,0,0,2019-20,0.909,0.519,100
Craig Anderson,38, OTT,34,31,11,17,2,100,1018,918,3.25,0,4.9,1845,14,7,-7.95,0,1,1,0,2019-20,0.902,0.452,109
David Ayres,42, CAR,1,0,1,0,0,2,10,8,4.18,0,-0.1,29,0,0,0.0,0,0,0,0,2019-20,0.8,0.0,0
Jonathan Bernier,31, DET,46,41,15,22,3,126,1353,1227,2.95,1,7.2,2566,17,5,-3.66,0,3,3,4,2019-20,0.907,0.415,103
Antoine Bibeau,25, COL,2,1,1,0,0,5,42,37,3.27,0,0.1,92,0,0,0.0,0,0,0,0,2019-20,0.8809999999999999,0.0,0
Jordan Binnington,26, STL,50,50,30,13,7,126,1430,1304,2.56,3,8.4,2948,28,5,3.31,0,1,1,4,2019-20,0.912,0.56,97
Ben Bishop,33, DAL,44,43,21,16,4,103,1286,1183,2.5,2,8.7,2474,27,5,13.29,0,2,2,2,2019-20,0.92,0.628,89
MacKenzie Blackwood,23, NJD,47,43,22,14,8,124,1452,1328,2.77,3,9.0,2684,22,6,7.3,0,1,1,0,2019-20,0.915,0.512,94
Sergei Bobrovsky,31, FLA,50,48,23,19,6,151,1505,1354,3.23,1,6.9,2806,20,10,-14.91,0,0,0,0,2019-20,0.9,0.41700000000000004,111
Laurent Brossoit,26, WPG,19,15,6,7,1,54,512,458,3.28,0,2.1,988,7,1,-7.7,0,0,0,0,2019-20,0.895,0.467,117
Jack Campbell,28, TOT,26,26,11,12,3,73,761,688,2.8,0,3.8,1567,11,4,-4.19,0,0,0,0,2019-20,0.904,0.423,106
Jack Campbell,28, LAK,20,20,8,10,2,57,572,515,2.85,0,2.7,1202,7,4,-5.28,0,0,0,0,2019-20,0.9,0.35,110
Jack Campbell,28, TOR,6,6,3,2,1,16,189,173,2.63,0,1.2,365,4,0,0.0,0,0,0,0,2019-20,0.915,0.667,0
Eric Comrie,24, DET,3,2,0,2,0,9,66,57,4.28,0,0.0,126,0,1,0.0,0,0,0,0,2019-20,0.8640000000000001,0.0,0
Corey Crawford,35, CHI,40,39,16,20,3,108,1294,1186,2.77,1,8.3,2340,25,3,9.01,0,0,0,0,2019-20,0.917,0.6409999999999999,92
Oscar Dansk,25, VEG,1,1,0,1,0,6,37,31,6.0,0,-0.1,60,0,1,0.0,0,0,0,0,2019-20,0.838,0.0,0
Aaron Dell,30, SJS,33,30,12,15,3,92,986,894,3.01,0,5.3,1834,15,5,-2.84,0,0,0,0,2019-20,0.907,0.5,103
Thatcher Demko,24, VAN,27,25,13,10,2,78,822,744,3.06,0,4.2,1529,15,5,-3.67,0,0,0,0,2019-20,0.905,0.6,105
Michael Dipietro,20, VAN,1,0,0,0,0,1,7,6,7.16,0,0.0,8,0,0,0.0,0,0,0,0,2019-20,0.857,0.0,0
Louis Domingue,27, TOT,17,15,3,9,2,51,433,382,3.81,0,1.2,803,4,5,-11.85,0,0,0,0,2019-20,0.882,0.267,130
Louis Domingue,27, NJD,16,14,3,8,2,47,399,352,3.79,0,1.1,744,4,5,-10.92,0,0,0,0,2019-20,0.882,0.28600000000000003,130
Louis Domingue,27, VAN,1,1,0,1,0,4,34,30,4.08,0,0.1,59,0,0,0.0,0,0,0,0,2019-20,0.882,0.0,0
Chris Driedger,25, FLA,12,11,7,2,1,22,354,332,2.05,1,3.1,643,8,0,10.01,0,0,0,0,2019-20,0.938,0.727,69
Devan Dubnyk,33, MIN,30,28,12,15,2,93,849,756,3.35,1,3.1,1665,9,5,-16.23,0,0,0,2,2019-20,0.89,0.321,121
Brian Elliott,34, PHI,31,27,16,7,4,80,796,716,2.87,2,3.6,1674,14,8,-8.02,0,1,1,2,2019-20,0.899,0.519,111
Marc-Andre Fleury,35, VEG,49,48,27,16,5,133,1399,1266,2.77,5,7.2,2880,24,9,-6.5,0,0,0,8,2019-20,0.905,0.5,105
Anton Forsberg,27, CAR,3,3,1,1,0,8,78,70,3.35,0,0.3,143,1,0,0.0,0,0,0,0,2019-20,0.897,0.33299999999999996,0
Pavel Francouz,29, COL,34,30,21,7,4,77,996,919,2.41,1,7.0,1914,17,5,13.06,0,0,0,2,2019-20,0.9229999999999999,0.5670000000000001,85
Alexandar Georgiev,23, NYR,34,32,17,14,2,96,1063,967,3.04,2,6.0,1892,17,5,0.12,0,1,1,0,2019-20,0.91,0.531,100
John Gibson,26, ANA,51,51,20,26,5,149,1552,1403,3.0,1,7.8,2981,22,10,-8.66,0,0,0,6,2019-20,0.904,0.431,106
Thomas Greiss,34, NYI,31,28,16,9,4,73,838,765,2.74,0,5.0,1596,15,5,2.78,0,0,0,2,2019-20,0.9129999999999999,0.536,96
Philipp Grubauer,28, COL,36,36,18,12,4,90,1067,977,2.63,2,6.7,2057,17,4,6.48,0,0,0,0,2019-20,0.9159999999999999,0.47200000000000003,93
Jaroslav Halak,34, BOS,31,29,18,6,6,73,905,832,2.39,3,6.1,1833,18,3,8.83,0,2,2,0,2019-20,0.919,0.621,89
Carter Hart,21, PHI,43,40,24,13,3,95,1100,1005,2.42,1,6.7,2356,25,9,4.47,0,0,0,0,2019-20,0.914,0.625,96
Connor Hellebuyck,26, WPG,58,56,31,21,5,140,1796,1656,2.57,6,12.5,3269,36,6,22.4,0,2,2,0,2019-20,0.922,0.643,86
Adin Hill,23, ARI,13,9,2,4,3,28,343,315,2.62,0,2.3,641,5,0,3.02,0,0,0,2,2019-20,0.9179999999999999,0.556,90
Marcus Hogberg,25, OTT,24,21,5,8,8,70,728,658,3.12,0,3.7,1345,10,3,-4.17,0,0,0,0,2019-20,0.904,0.47600000000000003,106
Braden Holtby,30, WSH,48,47,25,14,6,142,1385,1243,3.11,0,6.0,2743,22,11,-16.76,0,1,1,4,2019-20,0.897,0.46799999999999997,113
Jimmy Howard,35, DET,27,27,2,23,2,96,817,721,4.2,0,2.2,1372,7,9,-22.12,0,0,0,0,2019-20,0.882,0.259,130
Michael Hutchinson,29, TOT,16,12,5,9,1,49,439,390,3.47,1,1.5,847,4,0,-9.3,0,0,0,0,2019-20,0.888,0.33299999999999996,123
Michael Hutchinson,29, TOR,15,11,4,9,1,48,421,373,3.66,1,1.3,787,3,0,-9.93,0,0,0,0,2019-20,0.8859999999999999,0.273,126
Michael Hutchinson,29, COL,1,1,1,0,0,1,18,17,1.0,0,0.2,60,1,0,0.0,0,0,0,0,2019-20,0.9440000000000001,1.0,0
Carter Hutton,34, BUF,31,30,12,14,4,94,918,824,3.18,2,4.0,1775,14,7,-10.99,0,1,1,6,2019-20,0.898,0.467,113
Tristan Jarry,24, PIT,33,31,20,12,1,78,985,907,2.43,3,6.7,1926,19,3,11.07,0,0,0,0,2019-20,0.9209999999999999,0.613,88
Jonas Johansson,24, BUF,6,5,1,3,1,16,151,135,2.94,0,0.6,327,1,0,0.0,0,0,0,0,2019-20,0.894,0.2,0
Martin Jones,30, SJS,41,39,17,21,2,118,1139,1021,3.0,2,4.8,2360,15,11,-15.01,0,1,1,0,2019-20,0.8959999999999999,0.385,115
Kaapo Kahkonen,23, MIN,5,5,3,1,1,15,172,157,2.96,0,1.0,304,3,2,0.0,0,0,0,0,2019-20,0.9129999999999999,0.6,0
Kasimir Kaskisuo,26, TOR,1,1,0,1,0,6,38,32,6.0,0,-0.1,60,0,1,0.0,0,0,0,0,2019-20,0.8420000000000001,0.0,0
Anton Khudobin,33, DAL,30,26,16,8,4,62,882,820,2.22,0,6.9,1677,19,2,17.75,0,3,3,4,2019-20,0.93,0.731,78
Keith Kinkaid,30, MTL,6,5,1,1,3,24,192,168,4.24,0,0.4,340,0,0,0.0,0,0,0,0,2019-20,0.875,0.0,0
Matiss Kivlenieks,23, CBJ,6,4,1,1,2,14,137,123,2.95,0,0.6,285,2,0,0.0,0,0,0,0,2019-20,0.898,0.5,0
Joonas Korpisalo,25, CBJ,37,35,19,12,5,92,1030,938,2.6,2,5.9,2126,21,5,1.14,0,1,1,0,2019-20,0.9109999999999999,0.6,99
Mikko Koskinen,31, EDM,38,33,18,13,3,97,1175,1078,2.75,1,7.6,2117,17,5,9.25,0,0,0,0,2019-20,0.917,0.515,91
Darcy Kuemper,29, ARI,29,29,16,11,2,65,903,838,2.22,2,6.9,1753,22,2,16.65,0,0,0,6,2019-20,0.9279999999999999,0.759,80
Robin Lehner,28, TOT,36,34,19,10,5,99,1235,1136,2.89,1,8.3,2055,19,4,12.67,0,0,0,4,2019-20,0.92,0.5589999999999999,89
Robin Lehner,28, CHI,33,31,16,10,5,94,1152,1058,3.01,0,7.6,1875,17,4,10.17,0,0,0,4,2019-20,0.9179999999999999,0.5479999999999999,90
Robin Lehner,28, VEG,3,3,3,0,0,5,83,78,1.67,1,0.7,180,2,0,0.0,0,0,0,0,2019-20,0.94,0.667,0
Charlie Lindgren,26, MTL,6,6,2,4,0,20,178,158,3.33,0,0.6,361,1,1,0.0,0,0,0,0,2019-20,0.888,0.16699999999999998,0
Henrik Lundqvist,37, NYR,30,26,10,12,3,84,883,799,3.16,1,4.5,1597,13,4,-4.16,0,0,0,2,2019-20,0.905,0.5,105
Alex Lyon,27, PHI,3,2,1,1,0,8,73,65,3.55,0,0.3,135,0,0,0.0,0,0,0,0,2019-20,0.89,0.0,0
Jacob Markstrom,30, VAN,43,43,23,16,4,117,1420,1303,2.75,2,9.2,2552,25,5,11.4,0,1,1,4,2019-20,0.9179999999999999,0.581,91
Curtis McElhinney,36, TBL,18,18,8,7,3,52,551,499,2.89,1,2.9,1081,8,2,-2.18,0,0,0,0,2019-20,0.9059999999999999,0.444,104
Elvis Merzlikins,25, CBJ,33,31,13,9,8,71,919,848,2.35,5,6.5,1815,17,3,12.1,0,0,0,0,2019-20,0.9229999999999999,0.5479999999999999,85
Ryan Miller,39, ANA,23,19,9,6,4,64,685,621,3.1,0,3.6,1238,11,2,-2.06,0,1,1,0,2019-20,0.907,0.579,103
Sam Montembeault,23, FLA,14,9,5,5,1,39,356,317,3.34,0,1.3,701,3,2,-6.81,0,0,0,0,2019-20,0.89,0.33299999999999996,121
Petr Mrazek,27, CAR,40,38,21,16,2,104,1091,987,2.69,3,5.6,2321,19,7,-5.35,0,0,0,4,2019-20,0.905,0.5,105
Matt Murray,25, PIT,38,38,20,11,5,107,1055,948,2.87,1,4.7,2238,16,8,-11.6,0,1,1,2,2019-20,0.899,0.42100000000000004,112
Alex Nedeljkovic,24, CAR,4,3,1,2,1,11,97,86,3.05,0,0.3,216,1,1,0.0,0,0,0,0,2019-20,0.887,0.33299999999999996,0
Anders Nilsson,29, OTT,20,19,9,9,2,58,628,570,3.18,0,3.4,1093,11,5,-1.21,0,0,0,0,2019-20,0.9079999999999999,0.579,102
Calvin Petersen,25, LAK,8,8,5,3,0,21,269,248,2.64,0,1.9,477,5,0,0.0,0,0,0,0,2019-20,0.922,0.625,0
Calvin Pickard,27, DET,3,1,0,2,0,15,74,59,5.46,0,-0.5,165,0,1,0.0,0,0,0,0,2019-20,0.797,0.0,0
Carey Price,32, MTL,58,58,27,25,6,160,1755,1595,2.79,4,9.8,3440,31,11,-1.31,0,0,0,6,2019-20,0.909,0.534,101
Cayden Primeau,20, MTL,2,2,1,1,0,5,72,67,2.52,0,0.6,119,2,0,0.0,0,0,0,0,2019-20,0.9309999999999999,1.0,0
Jonathan Quick,34, LAK,42,42,16,22,4,117,1224,1107,2.79,1,6.2,2516,21,5,-6.32,0,1,1,0,2019-20,0.904,0.5,106
Antti Raanta,30, ARI,33,32,15,14,3,80,1014,934,2.63,2,7.0,1823,19,3,11.69,0,0,0,2,2019-20,0.9209999999999999,0.594,87
Tuukka Rask,32, BOS,41,41,26,8,6,85,1189,1104,2.12,5,9.1,2402,28,3,22.51,0,2,2,0,2019-20,0.929,0.6829999999999999,79
James Reimer,31, CAR,25,24,14,6,2,61,712,651,2.66,3,4.4,1378,15,6,3.38,0,0,0,2,2019-20,0.914,0.625,95
Pekka Rinne,37, NSH,36,35,18,14,4,105,1004,899,3.17,3,4.1,1988,16,11,-14.21,1,2,3,0,2019-20,0.895,0.457,116
David Rittich,27, CGY,48,48,24,17,6,138,1478,1340,2.97,2,7.9,2792,24,7,-4.35,0,1,1,6,2019-20,0.907,0.5,103
Ilya Samsonov,22, WSH,26,22,16,6,2,60,689,629,2.55,1,4.1,1411,13,2,2.3,0,0,0,2,2019-20,0.9129999999999999,0.591,96
Juuse Saros,24, NSH,40,34,17,12,4,98,1142,1044,2.7,4,7.0,2177,21,3,5.26,0,0,0,0,2019-20,0.914,0.618,95
Cory Schneider,33, NJD,13,11,3,6,2,40,355,315,3.53,1,1.2,679,3,3,-7.9,0,1,1,0,2019-20,0.887,0.273,125
Gilles Senn,23, NJD,2,1,0,1,0,4,41,37,3.42,0,0.2,70,1,0,0.0,0,0,0,0,2019-20,0.902,1.0,0
Igor Shesterkin,24, NYR,12,12,10,2,0,29,424,395,2.52,0,3.4,692,9,1,9.34,0,0,0,0,2019-20,0.932,0.75,76
Mike Smith,37, EDM,39,37,19,12,6,106,1087,981,2.95,1,5.3,2157,17,9,-7.71,0,2,2,21,2019-20,0.902,0.45899999999999996,108
Garret Sparks,26, VEG,1,0,0,0,0,2,14,12,4.38,0,0.0,27,0,0,0.0,0,0,0,0,2019-20,0.857,0.0,0
Alex Stalock,32, MIN,38,36,20,11,4,97,1082,985,2.67,4,6.2,2177,19,5,0.84,0,1,1,4,2019-20,0.91,0.528,99
Anthony Stolarz,26, ANA,1,1,0,1,0,2,35,33,2.05,0,0.3,59,1,0,0.0,0,0,0,0,2019-20,0.943,1.0,0
Malcolm Subban,26, TOT,21,19,9,7,3,60,546,486,3.17,0,1.9,1134,7,7,-10.63,0,0,0,0,2019-20,0.89,0.368,122
Malcolm Subban,26, VEG,20,19,9,7,3,60,546,486,3.18,0,1.9,1133,7,7,-10.63,0,0,0,0,2019-20,0.89,0.368,122
Malcolm Subban,26, CHI,1,0,0,0,0,0,0,0,0.0,0,0.0,1,0,0,0.0,0,0,0,0,2019-20,0.0,0.0,0
Cam Talbot,32, CGY,26,22,12,10,1,63,780,717,2.63,2,5.2,1435,11,2,7.53,0,0,0,21,2019-20,0.919,0.5,89
Linus Ullmark,26, BUF,34,34,17,14,3,91,1066,975,2.69,1,6.6,2027,19,2,5.39,0,0,0,4,2019-20,0.915,0.5589999999999999,94
Semyon Varlamov,31, NYI,45,39,19,14,6,110,1278,1168,2.62,2,7.8,2517,21,4,5.56,0,0,0,0,2019-20,0.914,0.5379999999999999,95
Andrei Vasilevskiy,25, TBL,52,52,35,14,3,133,1605,1472,2.56,3,10.4,3122,31,7,12.13,0,4,4,4,2019-20,0.917,0.596,92
Adam Werner,22, COL,2,1,1,1,0,5,58,53,3.42,0,0.4,88,0,1,0.0,0,0,0,0,2019-20,0.914,0.0,0
Jake Allen,28, STL,46,45,19,17,8,121,1277,1156,2.83,3,6.5,2568,25,11,-5.9,0,0,0,0,2018-19,0.905,0.556,105
Frederik Andersen,29, TOR,60,60,36,16,7,162,1958,1796,2.77,1,12.5,3510,38,7,14.48,0,1,1,2,2018-19,0.917,0.633,92
Craig Anderson,37, OTT,50,47,17,27,4,163,1676,1513,3.51,2,8.1,2785,19,8,-11.94,0,2,2,0,2018-19,0.903,0.40399999999999997,108
Richard Bachman,31, VAN,1,1,0,1,0,6,29,23,6.0,0,-0.2,60,0,1,0.0,0,0,0,0,2018-19,0.7929999999999999,0.0,0
Jonathan Bernier,30, DET,35,30,9,18,5,98,1025,927,3.16,1,5.1,1860,13,5,-5.61,0,0,0,0,2018-19,0.904,0.433,106
Jordan Binnington,25, STL,32,30,24,5,1,59,807,748,1.89,5,6.0,1876,20,1,13.74,0,0,0,0,2018-19,0.927,0.667,81
Ben Bishop,32, DAL,46,45,27,15,2,87,1323,1236,1.98,7,10.8,2637,31,1,32.24,0,2,2,2,2018-19,0.934,0.6890000000000001,73
MacKenzie Blackwood,22, NJD,23,21,10,10,0,55,669,614,2.61,2,4.3,1264,14,4,5.3,0,0,0,0,2018-19,0.9179999999999999,0.667,91
Sergei Bobrovsky,30, CBJ,62,61,37,24,1,153,1756,1603,2.58,9,10.4,3557,31,13,5.27,0,0,0,2,2018-19,0.9129999999999999,0.508,97
Landon Bow,23, DAL,2,0,0,0,0,1,19,18,1.03,0,0.2,58,0,0,0.0,0,0,0,0,2018-19,0.9470000000000001,0.0,0
Kevin Boyle,26, ANA,5,4,1,3,0,10,139,129,2.17,1,1.0,277,2,0,0.0,0,0,0,0,2018-19,0.9279999999999999,0.5,0
Laurent Brossoit,25, WPG,21,19,13,6,2,49,652,603,2.52,1,4.7,1165,12,2,9.77,0,0,0,0,2018-19,0.925,0.632,83
Peter Budaj,36, LAK,3,1,0,1,0,6,33,27,5.02,0,-0.1,72,0,1,0.0,0,0,0,0,2018-19,0.818,0.0,0
Jack Campbell,27, LAK,31,25,10,14,1,61,845,784,2.3,2,6.3,1593,16,3,15.16,0,1,1,0,2018-19,0.9279999999999999,0.64,80
Eric Comrie,23, WPG,1,1,0,1,0,5,28,23,5.01,0,-0.1,60,0,1,0.0,0,0,0,0,2018-19,0.821,0.0,0
Mike Condon,28, OTT,2,2,0,2,0,8,40,32,6.38,0,-0.2,75,0,2,0.0,0,0,0,0,2018-19,0.8,0.0,0
Pheonix Copley,27, WSH,27,24,16,7,3,74,776,702,2.9,1,3.9,1529,14,4,-4.06,0,1,1,0,2018-19,0.905,0.583,106
Corey Crawford,34, CHI,39,39,14,18,5,108,1176,1068,2.93,2,6.3,2213,17,5,-2.0,0,4,4,0,2018-19,0.9079999999999999,0.436,102
Joey Daccord,22, OTT,1,1,0,1,0,5,40,35,5.0,0,0.1,60,0,0,0.0,0,0,0,0,2018-19,0.875,0.0,0
Scott Darling,30, CAR,8,8,2,4,2,27,233,206,3.34,0,0.7,486,2,3,0.0,0,0,0,0,2018-19,0.884,0.25,0
Collin Delia,24, CHI,16,14,6,4,3,50,545,495,3.61,0,2.9,831,6,2,-0.88,0,0,0,0,2018-19,0.9079999999999999,0.429,102
Aaron Dell,29, SJS,25,20,10,8,4,70,613,543,3.17,2,1.9,1323,6,6,-14.75,0,0,0,0,2018-19,0.8859999999999999,0.3,127
Thatcher Demko,23, VAN,9,8,4,3,1,25,288,263,2.81,0,1.7,534,6,2,0.0,0,1,1,0,2018-19,0.9129999999999999,0.75,0
Casey DeSmith,27, PIT,36,30,15,11,5,89,1060,971,2.75,3,6.6,1944,18,2,6.54,0,0,0,2,2018-19,0.9159999999999999,0.6,93
Michael Dipietro,19, VAN,1,1,0,1,0,7,24,17,7.0,0,-0.4,60,0,1,0.0,0,0,0,0,2018-19,0.708,0.0,0
Louis Domingue,26, TBL,26,26,21,5,0,75,812,737,2.88,0,4.3,1561,14,2,-1.81,0,1,1,4,2018-19,0.9079999999999999,0.5379999999999999,102
Devan Dubnyk,32, MIN,67,66,31,28,6,163,1877,1714,2.54,2,11.1,3855,38,13,6.18,0,2,2,2,2018-19,0.9129999999999999,0.5760000000000001,96
Brian Elliott,33, PHI,26,23,11,11,1,69,741,672,2.96,1,3.9,1397,12,4,-2.21,0,1,1,2,2018-19,0.907,0.522,103
Marc-Andre Fleury,34, VEG,61,61,35,21,5,152,1745,1593,2.51,8,10.3,3635,34,7,5.28,0,2,2,4,2018-19,0.9129999999999999,0.557,97
Pavel Francouz,28, COL,2,0,0,2,0,2,35,33,1.96,0,0.3,61,0,0,0.0,0,0,0,0,2018-19,0.943,0.0,0
Kaden Fulcher,20, DET,1,0,0,0,0,2,11,9,4.41,0,0.0,27,0,0,0.0,0,0,0,0,2018-19,0.818,0.0,0
Alexandar Georgiev,22, NYR,33,30,14,13,4,91,1057,966,2.91,2,6.3,1874,15,3,4.27,0,2,2,2,2018-19,0.914,0.5,96
Christopher Gibson,26, NYI,2,0,0,0,0,1,17,16,1.5,0,0.2,40,0,0,0.0,0,0,0,0,2018-19,0.941,0.0,0
John Gibson,25, ANA,58,57,26,22,8,153,1838,1685,2.84,2,11.6,3233,34,8,12.66,0,0,0,2,2018-19,0.917,0.596,92
Thomas Greiss,33, NYI,43,39,23,14,2,87,1185,1098,2.28,5,8.7,2294,25,7,19.81,0,1,1,4,2018-19,0.927,0.6409999999999999,81
Philipp Grubauer,27, COL,37,33,18,9,5,89,1071,982,2.64,3,6.8,2021,20,5,7.53,0,0,0,0,2018-19,0.917,0.606,92
Jaroslav Halak,33, BOS,40,37,22,11,4,90,1158,1068,2.34,5,8.0,2308,22,4,14.37,0,4,4,0,2018-19,0.922,0.595,86
Carter Hart,20, PHI,31,30,16,13,1,81,976,895,2.83,0,6.2,1717,14,4,6.97,0,0,0,0,2018-19,0.917,0.467,92
Connor Hellebuyck,25, WPG,63,62,34,23,3,179,2051,1872,2.9,2,12.1,3704,28,6,5.86,0,3,3,4,2018-19,0.9129999999999999,0.452,97
Adin Hill,22, ARI,13,11,7,5,0,32,322,290,2.76,1,1.5,696,4,1,0.0,0,0,0,0,2018-19,0.9009999999999999,0.364,0
Marcus Hogberg,24, OTT,4,4,0,2,1,14,121,107,4.09,0,0.3,206,1,1,0.0,0,0,0,0,2018-19,0.884,0.25,0
Braden Holtby,29, WSH,59,58,32,19,5,160,1795,1635,2.82,3,10.2,3407,33,9,1.79,0,2,2,2,2018-19,0.9109999999999999,0.569,99
Jimmy Howard,34, DET,55,52,23,22,5,156,1709,1553,3.07,0,9.3,3053,30,6,-1.96,0,1,1,2,2018-19,0.909,0.5770000000000001,101
Michael Hutchinson,28, TOT,9,8,3,4,2,27,239,212,3.27,1,0.8,496,2,2,0.0,0,0,0,0,2018-19,0.887,0.25,0
Michael Hutchinson,28, TOR,5,5,2,3,0,13,152,139,2.64,1,0.9,295,2,0,0.0,0,0,0,0,2018-19,0.914,0.4,0
Michael Hutchinson,28, FLA,4,3,1,1,2,14,87,73,4.17,0,-0.2,201,0,2,0.0,0,0,0,0,2018-19,0.8390000000000001,0.0,0
Carter Hutton,33, BUF,50,48,18,25,5,142,1541,1399,3.0,0,8.3,2840,25,5,-3.11,0,1,1,2,2018-19,0.9079999999999999,0.521,102
Tristan Jarry,23, PIT,2,2,0,1,1,7,62,55,3.5,0,0.2,120,1,1,0.0,0,0,0,0,2018-19,0.887,0.5,0
Chad Johnson,32, TOT,19,11,2,11,0,49,406,357,3.63,1,0.9,811,3,3,-12.41,0,0,0,0,2018-19,0.879,0.273,134
Chad Johnson,32, STL,10,7,2,6,0,29,250,221,3.55,1,0.7,491,2,2,0.0,0,0,0,0,2018-19,0.884,0.28600000000000003,0
Chad Johnson,32, ANA,9,4,0,5,0,20,156,136,3.75,0,0.2,320,1,1,0.0,0,0,0,0,2018-19,0.872,0.25,0
Martin Jones,29, SJS,62,62,36,19,5,176,1699,1523,2.94,3,7.0,3597,27,14,-22.87,0,1,1,2,2018-19,0.8959999999999999,0.435,115
Anton Khudobin,32, DAL,41,37,16,17,5,95,1232,1137,2.57,2,8.6,2220,23,3,16.04,0,0,0,2,2018-19,0.9229999999999999,0.622,86
Keith Kinkaid,29, NJD,41,38,15,18,6,129,1188,1059,3.36,3,4.3,2302,15,11,-21.92,0,0,0,0,2018-19,0.8909999999999999,0.395,120
Joonas Korpisalo,24, CBJ,27,21,10,7,3,67,651,584,2.95,0,2.7,1361,8,4,-8.32,0,0,0,0,2018-19,0.897,0.381,114
Mikko Koskinen,30, EDM,55,51,25,21,6,146,1551,1405,2.93,4,8.0,2992,24,8,-6.21,0,2,2,2,2018-19,0.9059999999999999,0.47100000000000003,104
Darcy Kuemper,28, ARI,55,55,27,20,8,126,1676,1550,2.33,5,12.0,3251,36,6,25.06,0,2,2,14,2018-19,0.925,0.655,83
Maxime Lagace,26, VEG,1,1,0,1,0,4,31,27,4.03,0,0.0,60,0,0,0.0,0,0,0,0,2018-19,0.871,0.0,0
Robin Lehner,27, NYI,46,43,25,13,5,93,1323,1230,2.13,6,10.2,2616,26,4,26.24,0,1,1,0,2018-19,0.93,0.605,78
Charlie Lindgren,25, MTL,1,1,1,0,0,5,49,44,4.62,0,0.2,65,0,0,0.0,0,0,0,0,2018-19,0.898,0.0,0
Henrik Lundqvist,36, NYR,52,52,18,23,10,158,1699,1541,3.07,0,9.0,3089,30,7,-4.87,0,3,3,0,2018-19,0.907,0.5770000000000001,103
Roberto Luongo,39, FLA,43,40,18,16,5,122,1205,1083,3.12,1,5.3,2347,20,7,-13.39,0,1,1,0,2018-19,0.899,0.5,112
Alex Lyon,26, PHI,2,1,0,1,0,6,31,25,5.08,0,-0.2,71,0,1,0.0,0,0,0,0,2018-19,0.8059999999999999,0.0,0
Jacob Markstrom,29, VAN,60,60,28,23,9,166,1896,1730,2.77,1,11.1,3599,34,7,4.89,0,3,3,2,2018-19,0.912,0.5670000000000001,97
Curtis McElhinney,35, CAR,33,33,20,11,2,85,968,883,2.58,2,5.6,1978,17,6,2.25,0,0,0,0,2018-19,0.912,0.515,97
Mike McKenna,35, TOT,11,7,1,5,1,34,316,282,3.99,0,1.2,511,3,1,0.0,0,0,0,0,2018-19,0.892,0.429,0
Mike McKenna,35, OTT,10,6,1,4,1,30,292,262,3.96,0,1.2,454,3,0,0.0,0,0,0,0,2018-19,0.897,0.5,0
Mike McKenna,35, PHI,1,1,0,1,0,4,24,20,4.22,0,-0.1,57,0,1,0.0,0,0,0,0,2018-19,0.833,0.0,0
Ryan Miller,38, ANA,20,17,8,7,2,51,578,527,2.76,1,3.3,1109,10,2,1.1,0,0,0,0,2018-19,0.912,0.588,98
Hunter Miska,23, ARI,1,0,0,0,0,1,9,8,3.28,0,0.0,18,0,0,0.0,0,0,0,0,2018-19,0.889,0.0,0
Sam Montembeault,22, FLA,11,10,4,3,2,30,282,252,3.04,0,1.1,591,5,3,0.0,0,1,1,0,2018-19,0.894,0.5,0
Petr Mrazek,26, CAR,40,40,23,14,3,95,1104,1009,2.39,4,6.6,2387,23,4,4.51,0,1,1,6,2018-19,0.914,0.575,95
Matt Murray,24, PIT,50,50,29,14,6,129,1594,1465,2.69,4,10.4,2880,29,10,14.67,0,0,0,4,2018-19,0.919,0.58,90
Alex Nedeljkovic,23, CAR,1,1,1,0,0,2,26,24,2.0,0,0.2,60,1,0,0.0,0,0,0,0,2018-19,0.9229999999999999,1.0,0
Michal Neuvirth,30, PHI,7,6,1,4,1,26,184,158,4.27,0,0.0,366,1,4,0.0,0,0,0,0,2018-19,0.8590000000000001,0.16699999999999998,0
Antti Niemi,35, MTL,17,17,8,6,2,61,539,478,3.78,0,1.7,969,4,5,-12.42,0,1,1,0,2018-19,0.887,0.235,126
Anders Nilsson,28, TOT,36,34,14,19,1,101,1098,997,2.97,2,5.9,2040,14,6,-2.04,0,1,1,0,2018-19,0.9079999999999999,0.41200000000000003,102
Anders Nilsson,28, OTT,24,22,11,11,0,64,745,681,2.9,2,4.5,1322,10,4,3.15,0,1,1,0,2018-19,0.914,0.455,95
Anders Nilsson,28, VAN,12,12,3,8,1,37,353,316,3.09,0,1.4,718,4,2,-5.18,0,0,0,0,2018-19,0.895,0.33299999999999996,116
Eddie Pasquale,28, TBL,3,3,2,1,0,12,102,90,3.96,0,0.3,182,1,1,0.0,0,0,0,0,2018-19,0.882,0.33299999999999996,0
Calvin Petersen,24, LAK,11,10,5,4,1,27,355,328,2.61,1,2.5,622,6,1,5.0,0,0,0,0,2018-19,0.924,0.6,84
