Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,GAA,SO,GPS,MIN,QS,RBS,GSAA,G,A,PTS,PIM,Season,SV%,QS%,GA%
Jacques Plante*,43, TOR,34,0,16,13,5,86,1032,946,2.63,2,6.5,1962,0,0,14.52,0,0,0,2,1971-72,0.917,0.0,86
Jim Rutherford,22, PIT,40,0,17,15,5,116,1066,950,3.23,1,5.2,2156,0,0,-12.17,0,0,0,16,1971-72,0.8909999999999999,0.0,112
Al Smith,26, DET,43,0,18,20,4,134,1242,1108,3.22,4,6.0,2495,0,0,-13.03,0,4,4,23,1971-72,0.892,0.0,111
Billy Smith*,21, LAK,5,0,1,3,1,23,178,155,4.6,0,0.1,300,0,0,0.0,0,0,0,5,1971-72,0.871,0.0,0
Gary Smith,27, CBH,28,0,14,5,6,62,693,631,2.42,5,5.6,1538,0,0,5.5,0,0,0,0,1971-72,0.9109999999999999,0.0,92
Wayne Stephenson,27, STL,2,0,0,1,0,9,46,37,5.4,0,-0.1,100,0,0,0.0,0,0,0,0,1971-72,0.804,0.0,0
Bobby Taylor,27, PHI,6,0,1,2,2,16,193,177,3.0,0,0.9,320,0,0,0.0,0,0,0,0,1971-72,0.917,0.0,0
Rogie Vachon*,26, TOT,29,0,6,19,3,111,954,843,4.15,0,1.6,1604,0,0,-18.08,0,0,0,0,1971-72,0.884,0.0,119
Rogie Vachon*,26, LAK,28,0,6,18,3,107,937,830,4.05,0,1.8,1584,0,0,-15.73,0,0,0,0,1971-72,0.8859999999999999,0.0,117
Rogie Vachon*,26, MTL,1,0,0,1,0,4,17,13,12.0,0,-0.2,20,0,0,0.0,0,0,0,0,1971-72,0.765,0.0,0
Gilles Villemure,31, NYR,37,0,24,7,4,74,845,771,2.09,3,8.9,2127,0,0,8.3,0,2,2,6,1971-72,0.912,0.0,90
Ernie Wakely,31, STL,30,0,8,18,2,91,856,765,3.4,1,3.4,1605,0,0,-7.62,0,1,1,2,1971-72,0.894,0.0,109
Dunc Wilson,23, VAN,53,0,16,30,3,173,1529,1356,3.62,1,5.1,2864,0,0,-24.07,0,0,0,15,1971-72,0.887,0.0,116
Gump Worsley*,42, MNS,34,0,16,10,7,68,1022,954,2.12,2,7.9,1924,0,0,31.54,0,1,1,2,1971-72,0.9329999999999999,0.0,68
Les Binkley,36, PIT,34,0,11,11,10,89,890,801,2.86,2,5.8,1866,0,0,-2.89,0,0,0,0,1970-71,0.9,0.0,103
Ken Brown,22, CBH,1,0,0,0,0,1,14,13,3.37,0,0.0,18,0,0,0.0,0,0,0,0,1970-71,0.929,0.0,0
Gerry Cheevers*,30, BOS,40,0,27,8,5,109,1326,1217,2.73,3,7.9,2397,0,0,19.3,0,0,0,4,1970-71,0.9179999999999999,0.0,85
Roger Crozier,28, BUF,44,0,9,20,7,135,1354,1219,3.69,1,4.0,2195,0,0,-3.99,0,0,0,0,1970-71,0.9,0.0,103
Joe Daley,27, BUF,38,0,12,16,8,129,1232,1103,3.74,1,3.6,2069,0,0,-9.8,0,1,1,12,1970-71,0.895,0.0,108
Denis DeJordy,32, LAK,60,0,18,29,11,214,1917,1703,3.81,1,5.5,3370,0,0,-28.52,0,0,0,0,1970-71,0.888,0.0,115
Gerry Desjardins,26, CBH,22,0,12,6,2,49,603,554,2.42,0,4.6,1215,0,0,9.34,0,0,0,6,1970-71,0.919,0.0,84
Dave Dryden,29, BUF,10,0,3,3,0,22,227,205,3.23,1,1.0,408,0,0,0.0,0,1,1,0,1970-71,0.903,0.0,0
Ken Dryden*,23, MTL,6,0,6,0,0,9,211,202,1.65,0,1.6,327,0,0,0.0,0,0,0,0,1970-71,0.9570000000000001,0.0,0
Roy Edwards,33, DET,37,0,11,19,7,119,1109,990,3.4,0,4.7,2099,0,0,-11.7,0,0,0,2,1970-71,0.893,0.0,111
Tony Esposito*,27, CBH,57,0,35,14,7,126,1554,1428,2.27,6,13.2,3323,0,0,24.36,0,1,1,4,1970-71,0.919,0.0,84
Doug Favell,25, PHI,44,0,16,15,9,108,1275,1167,2.67,2,8.2,2428,0,0,15.36,0,1,1,9,1970-71,0.915,0.0,88
