Player,Tm,Season,GP,Age,GS,W,L,T/O,GA,SA,SV,GAA,SO,GPS,MIN,QS,RBS,GSAA,G,A,PTS,PIM,SV%,QS%,GA%
Jake Allen, STL,2019-20,-0.14424065337441622,0.44884588348013643,1.656911908252989,0.42767028533692286,-0.29173410350296397,0.2719675717941816,-0.20523542933120129,0.1439191645364087,0.17999058807304258,-0.8650632456987735,0.9464999007328257,0.48940847774841,0.15713850614263752,1.7434549951458167,1.7533244183823025,0.9324149415928943,-0.05688801239885743,-0.7697435164732545,-0.7712439118603518,-0.9800257351430732,1.0351401582985784,1.723565073969104,0.46223910735576584
Frederik Andersen, TOR,2019-20,1.2039728838964907,0.650219545573148,1.6755556053546965,1.359406314253798,0.5212326950182837,1.1467437892691752,1.0840177101153263,1.2041820461003612,1.213686775524215,-0.21574051058959604,1.2278454289462364,1.157101505729172,1.1251583414797655,1.7547843366039877,1.8169479350362752,0.012235755450625515,-0.05688801239885743,-0.7697435164732545,-0.7712439118603518,-0.9800257351430732,0.4390865456290678,1.709182674669056,0.6803175718449486
Craig Anderson, OTT,2019-20,0.3372641813651934,1.977054689842315,1.666999747374003,0.3471347942356224,0.868713107005,-0.07982362248198983,0.5916808867422579,0.62787562100934,0.6322390333431851,0.10958385120626603,-0.9547518100356001,0.48940847774841,0.502457403563829,1.7434549951458167,1.8152103209106842,-0.7192898435564614,-0.05688801239885743,1.2322194668067945,1.2291424267941413,-0.9800257351430732,0.22516293027385,1.6970975506180617,0.7758524293871942
David Ayres, CAR,2019-20,-1.2517017732755185,2.499694986983419,-0.6201082893184081,-1.1302410488690715,-1.7487810841638631,-1.365050497555036,-1.7225232008546687,-1.8304765385603672,-1.8407399686137649,0.7719533068229784,-0.9547518100356001,-1.5633048523817534,-1.7738959941285004,-0.5879575248974033,-0.5632544736860063,0.04777141654320519,-0.05688801239885743,-0.7697435164732545,-0.7712439118603518,-0.9800257351430732,-1.9999502566703729,-0.5885724863912724,-1.4202450540833362
Jonathan Bernier, DET,2019-20,0.915069983052725,0.8422864392611544,1.6721719641367983,0.643307482209037,1.2386672824977873,0.2719675717941816,0.9009047249927025,0.9904696351188104,0.9983034729892546,-0.13169598272056277,0.4253854116581233,0.9083866274997979,0.9090273274408888,1.7478194735080899,1.8083950848868,-0.29405556478113837,-0.05688801239885743,1.4049728332229934,1.4030418081163567,0.8189932500425766,0.3769836789808305,1.6878476045179358,0.7126554177993151
Antoine Bibeau, COL,2019-20,-1.2035512898015575,-0.46694676792653494,1.2301273632951324,-1.1302410488690715,-1.7487810841638631,-1.365050497555036,-1.4970747556690767,-1.4926944745113022,-1.4879401228517173,0.1251267258693785,-0.9547518100356001,-1.369595375982195,-1.4717063586045578,-0.5879575248974033,-0.5632544736860063,0.04777141654320519,-0.05688801239885743,-0.7697435164732545,-0.7712439118603518,-0.9800257351430732,-0.36172219131145844,-0.5885724863912724,-1.4202450540833362
Jordan Binnington, STL,2019-20,1.107671916948569,-0.2194571425455971,1.675051894757329,1.399541273203734,0.5212326950182837,1.1467437892691752,0.9009047249927025,1.066121830419543,1.0807635358081285,-0.47090413257233144,1.2278454289462364,1.088023388787169,1.0973716965001374,1.755176807828738,1.8083950848868,0.3224113687363472,-0.05688801239885743,1.2322194668067945,1.2291424267941413,0.8189932500425766,0.5337426976268077,1.714470203181087,0.6474566209242969
Ben Bishop, DAL,2019-20,0.818769016104803,1.201233297228753,1.6729168125391256,0.9937322803272833,0.7869527498630865,0.5493464342580373,0.6295007267278704,0.9225634281103101,0.9498032766057491,-0.5259876360152974,0.9464999007328257,1.1298379000685939,0.8612459420429078,1.7547843366039877,1.8083950848868,1.085969998402108,-0.05688801239885743,1.3608264865699107,1.3584841816438222,0.3851953391174551,0.7951973256267036,1.7208669141703181,0.557074360088041
MacKenzie Blackwood, NJD,2019-20,0.9632204665266859,-1.0064850914990036,1.6729168125391256,1.0446247748347213,0.6135765301858751,1.299296983560831,0.8784706122980269,1.0872964610300322,1.105874273591643,-0.2843810374521064,1.2278454289462364,1.1705563874800493,0.9688646444817121,1.7521969319919428,1.8125906236639533,0.6345592662787973,-0.05688801239885743,1.2322194668067945,1.2291424267941413,-0.9800257351430732,0.6302294989327302,1.70814192555884,0.6140476893503711
Sergei Bobrovsky, FLA,2019-20,1.107671916948569,0.8422864392611544,1.6745058570895701,1.0938186367640126,1.023815152614529,0.9751823434963726,1.165954098614396,1.1375483776312516,1.1327766153819212,0.09397600714644506,0.4253854116581233,0.8599633212931238,1.0291302197682146,1.750742038730935,1.8190260103163092,-1.4362587537678122,-0.05688801239885743,-0.7697435164732545,-0.7712439118603518,-0.9800257351430732,0.1657851423422336,1.6884070751868303,0.7965025884842825
Laurent Brossoit, WPG,2019-20,-0.384993070744221,-0.2194571425455971,1.644496916283941,-0.15983733271688608,-0.15019207942766666,-0.56474511309043,-0.09414869935480275,-0.09027057250676616,-0.08692894076446102,0.13287397899697567,-0.9547518100356001,-0.2754565436394832,-0.1306026022855978,1.7161956047673292,1.6417936456422,-0.6940710812502429,-0.05688801239885743,-0.7697435164732545,-0.7712439118603518,-0.9800257351430732,0.020638256575523078,1.7002608964160844,0.8572847522989375
